property_id,address,home_value,home_equity_pct
PROP_060,"352 Sage Dr, Phoenix, AZ",430000,0.25
PROP_061,"652 Clover Ct, Phoenix, AZ",320000,0.14
PROP_062,"952 Thyme Rd, Phoenix, AZ",510000,0.34
PROP_063,"153 Mint St, Phoenix, AZ",450000,0.28
PROP_064,"753 Basil Ln, Phoenix, AZ",655000,0.47
PROP_065,"353 Dill Dr, Phoenix, AZ",395000,0.21
PROP_066,"653 Fennel Blvd, Phoenix, AZ",595000,0.42
PROP_067,"953 Chive St, Phoenix, AZ",475000,0.31
PROP_068,"156 Anise Rd, Phoenix, AZ",340000,0.16
PROP_069,"756 Cumin Ln, Phoenix, AZ",745000,0.53
PROP_070,"356 Garlic Dr, Phoenix, AZ",425000,0.24
PROP_071,"656 Ginger Ct, Phoenix, AZ",330000,0.15
PROP_072,"956 Nutmeg Rd, Phoenix, AZ",530000,0.36
PROP_073,"158 Pepper St, Phoenix, AZ",460000,0.29
PROP_074,"758 Saffron Ln, Phoenix, AZ",665000,0.48
PROP_075,"358 Turmeric Dr, Phoenix, AZ",410000,0.22
PROP_076,"658 Vanilla Blvd, Phoenix, AZ",605000,0.44
PROP_077,"958 Sesame St, Phoenix, AZ",490000,0.33
PROP_078,"159 Poppy Rd, Phoenix, AZ",370000,0.18
PROP_079,"759 Sunflower Ln, Phoenix, AZ",755000,0.54
PROP_080,"359 Daisy Dr, Phoenix, AZ",445000,0.27
PROP_081,"661 Bluebell Ct, Phoenix, AZ",335000,0.16
PROP_082,"961 Marigold Rd, Phoenix, AZ",540000,0.37
PROP_083,"161 Lavender St, Phoenix, AZ",465000,0.30
PROP_084,"761 Heather Ln, Phoenix, AZ",675000,0.49
PROP_085,"361 Azalea Dr, Phoenix, AZ",420000,0.23
PROP_086,"661 Begonia Blvd, Phoenix, AZ",615000,0.45
PROP_087,"961 Camellia St, Phoenix, AZ",500000,0.34
PROP_088,"162 Gardenia Rd, Phoenix, AZ",380000,0.19
PROP_089,"762 Hibiscus Ln, Phoenix, AZ",765000,0.55
PROP_090,"362 Hydrangea Dr, Phoenix, AZ",455000,0.28
PROP_091,"662 Magnolia Ct, Phoenix, AZ",345000,0.17
PROP_092,"962 Oleander Rd, Phoenix, AZ",550000,0.38
PROP_093,"163 Petunia St, Phoenix, AZ",475000,0.31
PROP_094,"763 Rhododendron Ln, Phoenix, AZ",685000,0.50
PROP_095,"363 Wisteria Dr, Phoenix, AZ",415000,0.22
PROP_096,"663 Zinnia Blvd, Phoenix, AZ",625000,0.46
PROP_097,"963 Orchid St, Phoenix, AZ",510000,0.35
PROP_098,"164 Lilac Rd, Phoenix, AZ",390000,0.20
PROP_099,"764 Jasmine Ln, Phoenix, AZ",775000,0.56
PROP_100,"364 Iris Dr, Phoenix, AZ",465000,0.29
